"filename", "language", "YAML", "HTML", "Markdown", "C++", "Swift", "XML", "JSON", "CMake", "pip requirements", "Python", "JavaScript", "Batch", "Properties", "PowerShell", "reStructuredText", "CSS", "C", "Dart", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3537.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 35
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3560.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 30, 75
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3565.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 58
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3657.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 67
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3709.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 54, 208
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3739.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 74, 204
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3770.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 29, 76
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3779.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 44, 138
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3820.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 66
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc3852.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 259, 707
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4010.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 59
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4043.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 44
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4055.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 67, 259
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4073.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 60
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4108.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 113, 351
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4210.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 100, 804
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4211.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 129, 397
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4334.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 30, 76
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4357.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 174, 478
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4387.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 24
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4476.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 36, 94
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4490.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 45, 114
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4491.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 45
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4683.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 23, 73
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc4985.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 50
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc5035.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 89, 200
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc5083.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 13, 53
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc5084.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 98
"c:\busproject\chatapp\functions\venv\Lib\site-packages\pyasn1_modules\rfc5126.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 222, 578
